3.1657 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
105.1971 	EXP 	grating: autoDraw = False
105.1973 	EXP 	window1: recordFrameIntervals = False
106.1807 	EXP 	fixation: autoDraw = True
107.1813 	EXP 	fixation: autoDraw = False
107.1977 	EXP 	grating: autoDraw = True
107.1977 	EXP 	grating: tex = 'sin'
107.4978 	EXP 	grating: autoDraw = False
107.5003 	EXP 	window1: recordFrameIntervals = False
107.5016 	DATA 	Keypress: right
107.5146 	EXP 	fixation: autoDraw = False
107.5146 	EXP 	grating: autoDraw = False
107.5148 	EXP 	window1: recordFrameIntervals = False
108.5135 	EXP 	fixation: autoDraw = True
109.5138 	EXP 	fixation: autoDraw = False
109.5138 	EXP 	grating: autoDraw = True
109.5138 	EXP 	grating: tex = 'sin'
109.8139 	EXP 	grating: autoDraw = False
109.9159 	EXP 	window1: recordFrameIntervals = False
109.9168 	DATA 	Keypress: right
109.9308 	EXP 	fixation: autoDraw = False
109.9308 	EXP 	grating: autoDraw = False
109.9310 	EXP 	window1: recordFrameIntervals = False
110.9159 	EXP 	fixation: autoDraw = True
111.9308 	EXP 	fixation: autoDraw = False
111.9308 	EXP 	grating: autoDraw = True
111.9308 	EXP 	grating: tex = 'sin'
112.2308 	EXP 	grating: autoDraw = False
112.2332 	EXP 	window1: recordFrameIntervals = False
112.2344 	DATA 	Keypress: right
112.2475 	EXP 	fixation: autoDraw = False
112.2475 	EXP 	grating: autoDraw = False
112.2478 	EXP 	window1: recordFrameIntervals = False
113.4143 	EXP 	fixation: autoDraw = True
114.2481 	EXP 	grating: autoDraw = True
114.2481 	EXP 	grating: tex = 'sin'
114.4150 	EXP 	fixation: autoDraw = False
114.5483 	EXP 	grating: autoDraw = False
114.6672 	EXP 	window1: recordFrameIntervals = False
114.6685 	DATA 	Keypress: left
114.6816 	EXP 	fixation: autoDraw = False
114.6816 	EXP 	grating: autoDraw = False
